"presup_id","presup_numero","presup_fecha_creacion","cliente_rut","presup_detalle","presup_neto_uf","presup_iva_uf","presup_total_uf","presup_neto_clp","presup_iva_clp","presup_total_clp","presup_enviado","presup_fecha_envio","presup_adjudicada","presup_oc_cliente","estatus_codigo","area_codigo"
"2","20200001","2020-07-17","79638430","Power Pack","0","0","0","0","0","0","1","2020-07-18","0","0","5","2"
"3","20200002","2020-07-18","83156400","Banco MLP","0","0","0","3998176","759653.44","4757829.44","1","0000-00-00","0","0","5","2"
"4","20200003","2020-07-18","83156400","Tensor Correa","0","0","0","1438368","273289.92","1711657.92","1","2020-07-18","0","0","5","2"
"5","20200004","2020-07-18","83156400","Pupitre Komatsu","0","0","0","778984","148006.96","926990.96","1","0000-00-00","0","0","5","2"
"6","20200005","2020-07-18","83156400","REGULARIZACION PLANO HIDRAULICO KOMATSU ANTOFAGASTA","0","0","0","243791","46320.29","290111.29","1","0000-00-00","1","18700","3","2"
"7","20200006","2020-07-18","83156400","REGULARIZACION CASETA KOMATSU SANTIAGO","0","0","0","357082","67845.58","424927.58","1","0000-00-00","1","18679","3","2"
"8","20200007","2020-07-18","83156400","ESTUDIO ATRIL DE CABEZAL","0","0","0","248380","47192.2","295572.2","1","0000-00-00","1","41810824","3","2"
"9","20200008","2020-07-18","83156400","REGULARIZACION PLANO ELECTRICO KOMATSU SANTIAGO","0","0","0","0","0","0","0","0000-00-00","0","0","5","2"
"10","20200009","2020-07-18","76068105","DISEÑO UNIDAD CALIBRACION Y ANALISIS DE POLINES ","0","0","0","0","0","0","0","0000-00-00","0","0","5","2"
"11","20200010","2020-07-18","83156400","REGULARIZACION PLANO HIDRAULICO KOMATSU SANTIAGO","0","0","0","243791","46320.29","290111.29","1","2020-08-14","1","0","3","2"
"12","20200011","2020-07-18","83156400","REGULARIZACION PLANO ELECTRICO KOMATSU ANTOFAGASTA","0","0","0","243791","46320.29","290111.29","1","0000-00-00","1","41810867","3","2"
"13","20200012","2020-07-18","96939290","PROYEC_CASETA_GUARDIA","0","0","0","539720","102546.8","642266.8","1","2020-07-27","1","0","3","3"
